Ticker,Intrinsic Value,Date Calculated
DRI,8.78,2025-01-29
DVA,9.44,2025-01-29
DE,914.14,2025-01-29
DAL,257.16,2025-01-29
XRAY,18.28,2025-01-29
DVN,81.0,2025-01-29
DLR,37.25,2025-01-29
DFS,310.58,2025-01-29
DG,6.09,2025-01-29
DLTR,75.16,2025-01-29
D,46.97,2025-01-29
DOV,393.05,2025-01-29
DTE,127.92,2025-01-29
DUK,96.55,2025-01-29
DXC,0.18,2025-01-29
EMN,7.39,2025-01-29
ETN,335.27,2025-01-29
EBAY,4.08,2025-01-29
ECL,7.06,2025-01-29
EIX,59.28,2025-01-29
EW,2.64,2025-01-29
EA,4.01,2025-01-29
EMR,100.58,2025-01-29
ETR,71.24,2025-01-29
EOG,185.85,2025-01-29
EQT,11.25,2025-01-29
EFX,160.86,2025-01-29
EQIX,336.78,2025-01-29
EQR,71.78,2025-01-29
ESS,259.25,2025-01-29
EL,29.96,2025-01-29
ES,59.44,2025-01-29
EXC,42.12,2025-01-29
EXPE,7.73,2025-01-29
EXPD,182.97,2025-01-29
EXR,113.57,2025-01-29
XOM,120.45,2025-01-29
FFIV,9.82,2025-01-29
FAST,71.69,2025-01-29
FRT,104.18,2025-01-29
FDX,558.9,2025-01-29
FIS,1.0,2025-01-29
FITB,63.6,2025-01-29
FE,26.87,2025-01-29
FISV,114.23,2025-01-29
FLS,72.4,2025-01-29
FLR,51.72,2025-01-29
FMC,12.08,2025-01-29
FL,22.95,2025-01-29
F,0.88,2025-01-29
FTV,89.17,2025-01-29
BEN,18.02,2025-01-29
FCX,1.37,2025-01-29
GRMN,7.91,2025-01-29
IT,13.91,2025-01-29
GD,467.95,2025-01-29
GE,180.83,2025-01-29
GIS,246.1,2025-01-29
GM,9.41,2025-01-29
GPC,7.79,2025-01-29
GILD,0.09,2025-01-29
GPN,5.45,2025-01-29
GS,723.13,2025-01-29
GT,8.82,2025-01-29
GWW,1315.39,2025-01-29
HAL,42.9,2025-01-29
HBI,8.25,2025-01-29
HOG,4.51,2025-01-29
HIG,211.15,2025-01-29
HAS,56.8,2025-01-29
HCA,22.68,2025-01-29
HCP,35.23,2025-01-29
HP,51.45,2025-01-29
HSIC,2.49,2025-01-29
HES,128.7,2025-01-29
HPE,1.98,2025-01-29
HLT,4.69,2025-01-29
HOLX,3.38,2025-01-29
HD,14.8,2025-01-29
HON,308.52,2025-01-29
HRL,78.65,2025-01-29
HST,31.19,2025-01-29
HPQ,2.89,2025-01-29
HUM,11.66,2025-01-29
HBAN,21.84,2025-01-29
HII,631.66,2025-01-29
IDXX,10.56,2025-01-29
INFO,21.13,2025-01-29
ITW,411.59,2025-01-29
ILMN,135.14,2025-01-29
INCY,0.09,2025-01-29
IR,73.12,2025-01-29
INTC,20.58,2025-01-29
ICE,89.25,2025-01-29
IBM,7.05,2025-01-29
IP,1.16,2025-01-29
IPG,2.13,2025-01-29
IFF,84.82,2025-01-29
INTU,10.56,2025-01-29
ISRG,6.31,2025-01-29
IVZ,17.43,2025-01-29
IQV,7.76,2025-01-29
IRM,10.9,2025-01-29
JBHT,196.17,2025-01-29
SJM,264.29,2025-01-29
JNJ,6.16,2025-01-29
JCI,74.19,2025-01-29
JPM,381.39,2025-01-29
JNPR,0.78,2025-01-29
K,159.97,2025-01-29
KEY,18.24,2025-01-29
KMB,413.02,2025-01-29
KIM,16.35,2025-01-29
KMI,16.95,2025-01-29
KLAC,22.46,2025-01-29
KSS,2.23,2025-01-29
KHC,59.39,2025-01-29
KR,202.23,2025-01-29
LB,293.7,2025-01-29
LH,5.38,2025-01-29
LRCX,3.18,2025-01-29
LEG,9.37,2025-01-29
LEN,14.38,2025-01-29
LLY,9.41,2025-01-29
LNC,30.32,2025-01-29
LKQ,2.72,2025-01-29
LMT,985.47,2025-01-29
L,159.42,2025-01-29
LOW,12.08,2025-01-29
LYB,6.53,2025-01-29
MTB,286.41,2025-01-29
MAC,10.9,2025-01-29
M,0.61,2025-01-29
MRO,34.8,2025-01-29
MPC,193.35,2025-01-29
MAR,9.6,2025-01-29
MMC,171.93,2025-01-29
MLM,31.91,2025-01-29
MAS,134.11,2025-01-29
MA,13.61,2025-01-29
MAT,1.58,2025-01-29
MKC,157.29,2025-01-29
MCD,11.44,2025-01-29
MCK,19.68,2025-01-29
MDT,3.33,2025-01-29
MRK,4.87,2025-01-29
MET,104.52,2025-01-29
MTD,37.72,2025-01-29
MGM,2.8,2025-01-29
MCHP,1.48,2025-01-29
MU,3.59,2025-01-29
MSFT,12.43,2025-01-29
MAA,134.47,2025-01-29
MHK,8.9,2025-01-29
TAP,237.54,2025-01-29
MDLZ,150.87,2025-01-29
MNST,83.46,2025-01-29
MCO,231.5,2025-01-29
MS,139.5,2025-01-29
MSI,9.36,2025-01-29
NDAQ,35.19,2025-01-29
NOV,40.5,2025-01-29
NAVI,16.11,2025-01-29
NTAP,5.58,2025-01-29
NFLX,18.19,2025-01-29
NWL,10.3,2025-01-29
NEM,38.88,2025-01-29
NWSA,0.62,2025-01-29
NWS,0.62,2025-01-29
NEE,58.41,2025-01-29
NKE,3.25,2025-01-29
NI,28.43,2025-01-29
JWN,1.59,2025-01-29
NSC,380.21,2025-01-29
NTRS,170.24,2025-01-29
NOC,578.16,2025-01-29
NCLH,1.15,2025-01-29
NRG,70.03,2025-01-29
NUE,10.29,2025-01-29
NVDA,2.6,2025-01-29
ORLY,40.54,2025-01-29
OXY,54.75,2025-01-29
OMC,7.35,2025-01-29
OKE,70.8,2025-01-29
ORCL,4.2,2025-01-29
PCAR,318.86,2025-01-29
PKG,8.5,2025-01-29
PH,792.16,2025-01-29
PDCO,1.72,2025-01-29
PAYX,4.88,2025-01-29
PYPL,4.3,2025-01-29
PNR,142.67,2025-01-29
PEP,362.2,2025-01-29
PRGO,25.51,2025-01-29
PFE,0.76,2025-01-29
PCG,22.19,2025-01-29
PM,337.05,2025-01-29
PSX,117.45,2025-01-29
PNW,92.21,2025-01-29
PNC,250.8,2025-01-29
RL,10.54,2025-01-29
PPG,6.25,2025-01-29
PPL,19.24,2025-01-29
PX,0.11,2025-01-29
PFG,75.76,2025-01-29
PG,310.3,2025-01-29
PGR,291.71,2025-01-29
PLD,100.55,2025-01-29
PRU,238.08,2025-01-29
PEG,70.55,2025-01-29
PSA,291.65,2025-01-29
PHM,13.61,2025-01-29
PVH,12.27,2025-01-29
QRVO,70.3,2025-01-29
QCOM,9.2,2025-01-29
PWR,192.6,2025-01-29
DGX,7.57,2025-01-29
RRC,30.0,2025-01-29
RJF,205.64,2025-01-29
O,31.8,2025-01-29
REG,64.21,2025-01-29
REGN,41.21,2025-01-29
RF,37.52,2025-01-29
RSG,222.92,2025-01-29
RMD,7.67,2025-01-29
RHI,98.08,2025-01-29
ROK,295.32,2025-01-29
ROP,484.0,2025-01-29
ROST,6.38,2025-01-29
RCL,10.03,2025-01-29
SPGI,240.41,2025-01-29
CRM,6.23,2025-01-29
SBAC,192.01,2025-01-29
SLB,46.65,2025-01-29
STX,3.98,2025-01-29
SEE,2.69,2025-01-29
SRE,78.69,2025-01-29
SHW,9.97,2025-01-29
SIG,8.59,2025-01-29
SPG,227.75,2025-01-29
SWKS,3.79,2025-01-29
SLG,74.57,2025-01-29
SNA,19.53,2025-01-29
SO,74.36,2025-01-29
LUV,34.18,2025-01-29
SWK,82.66,2025-01-29
SBUX,3.33,2025-01-29
STT,135.26,2025-01-29
SRCL,13.91,2025-01-29
SYK,9.49,2025-01-29
STI,0.42,2025-01-29
SYF,163.24,2025-01-29
SNPS,9.48,2025-01-29
SYY,208.12,2025-01-29
TROW,193.56,2025-01-29
TPR,3.47,2025-01-29
TGT,9.47,2025-01-29
TEL,10.62,2025-01-29
FTI,22.65,2025-01-29
TXN,5.52,2025-01-29
TXT,163.0,2025-01-29
BK,94.76,2025-01-29
CLX,154.62,2025-01-29
COO,2.0,2025-01-29
HSY,465.99,2025-01-29
MOS,1.12,2025-01-29
TRV,412.98,2025-01-29
DIS,2.73,2025-01-29
TMO,16.24,2025-01-29
TJX,4.26,2025-01-29
TSCO,2.07,2025-01-29
TDG,911.64,2025-01-29
TRIP,0.26,2025-01-29
FOXA,4.11,2025-01-29
FOX,4.11,2025-01-29
TSN,120.38,2025-01-29
USB,68.9,2025-01-29
UDR,11.51,2025-01-29
ULTA,25.1,2025-01-29
UAA,7.93,2025-01-29
UA,7.93,2025-01-29
UNP,388.05,2025-01-29
UAL,299.24,2025-01-29
UNH,15.69,2025-01-29
UPS,236.11,2025-01-29
URI,1364.61,2025-01-29
UHS,15.29,2025-01-29
UNM,195.25,2025-01-29
VFC,21.81,2025-01-29
VLO,170.55,2025-01-29
VTR,60.66,2025-01-29
VRSN,8.83,2025-01-29
VRSK,231.48,2025-01-29
VZ,166.32,2025-01-29
VRTX,408.01,2025-01-29
V,9.99,2025-01-29
VNO,45.57,2025-01-29
VMC,6.34,2025-01-29
WMT,129.47,2025-01-29
WBA,9.62,2025-01-29
WM,233.62,2025-01-29
WAT,10.68,2025-01-29
WEC,70.89,2025-01-29
WFC,101.97,2025-01-29
WDC,0.94,2025-01-29
WU,2.01,2025-01-29
WY,22.11,2025-01-29
WHR,10.21,2025-01-29
WMB,35.4,2025-01-29
WYNN,8.37,2025-01-29
XEL,58.41,2025-01-29
XRX,9.14,2025-01-29
XYL,124.12,2025-01-29
YUM,5.38,2025-01-29
ZBH,5.34,2025-01-29
ZION,93.07,2025-01-29
ZTS,5.42,2025-01-29
